fuel,name,value,scenario,dots,step,filename,value_scenario
Gas (pipeline),Supply Shock,0.2161715163351998,1,32,1,scenario 1 step 1.csv,2.0996627778377497
"Gas (pipeline, excluding Norway and United Kingdom)",Supply Shock,0.07174490203571683,1,11,1,scenario 1 step 1.csv,2.0996627778377497
Gas (LNG),Supply Shock,0.2499173595888469,1,37,1,scenario 1 step 1.csv,2.0996627778377497
Oil and petroleum products,Supply Shock,0.325765033320805,1,49,1,scenario 1 step 1.csv,2.0996627778377497
Coal,Supply Shock,0.03148593291224001,1,5,1,scenario 1 step 1.csv,2.0996627778377497
Uranium (AVERAGE),Supply Shock,0.04839837964494104,1,7,1,scenario 1 step 1.csv,2.0996627778377497
Gas (pipeline),Price Shock,0.3059127540000001,1,46,2,scenario 1 step 2.csv,2.0996627778377497
"Gas (pipeline, excluding Norway and United Kingdom)",Price Shock,0.3059127540000001,1,46,2,scenario 1 step 2.csv,2.0996627778377497
Gas (LNG),Price Shock,0.2570968890000001,1,39,2,scenario 1 step 2.csv,2.0996627778377497
Oil and petroleum products,Price Shock,0.211534617,1,32,2,scenario 1 step 2.csv,2.0996627778377497
Coal,Price Shock,0.02329068,1,3,2,scenario 1 step 2.csv,2.0996627778377497
Uranium (AVERAGE),Price Shock,0.05243196,1,8,2,scenario 1 step 2.csv,2.0996627778377497
Gas (pipeline),Supply Shock,0.2269267334690611,2,34,1,scenario 2 step 1.csv,3.528404135570488
"Gas (pipeline, excluding Norway and United Kingdom)",Supply Shock,0.07334856835441181,2,11,1,scenario 2 step 1.csv,3.528404135570488
Gas (LNG),Supply Shock,0.2579766472599245,2,39,1,scenario 2 step 1.csv,3.528404135570488
Oil and petroleum products,Supply Shock,0.3260983992622091,2,49,1,scenario 2 step 1.csv,3.528404135570488
Coal,Supply Shock,0.0310822,2,5,1,scenario 2 step 1.csv,3.528404135570488
Uranium (AVERAGE),Supply Shock,0.0495998910427699,2,7,1,scenario 2 step 1.csv,3.528404135570488
Gas (pipeline),Price Shock,0.3454201080000001,2,52,2,scenario 2 step 2.csv,3.528404135570488
"Gas (pipeline, excluding Norway and United Kingdom)",Price Shock,0.3454201080000001,2,52,2,scenario 2 step 2.csv,3.528404135570488
Gas (LNG),Price Shock,0.2902998780000001,2,44,2,scenario 2 step 2.csv,3.528404135570488
Oil and petroleum products,Price Shock,0.239998374,2,36,2,scenario 2 step 2.csv,3.528404135570488
Coal,Price Shock,0.02645016000000001,2,4,2,scenario 2 step 2.csv,3.528404135570488
Uranium (AVERAGE),Price Shock,0.05948712000000001,2,9,2,scenario 2 step 2.csv,3.528404135570488
Gas (pipeline),Storage loss addition,0.4822877766836284,2,72,3,scenario 2 step 3.csv,3.528404135570488
"Gas (pipeline, excluding Norway and United Kingdom)",Storage loss addition,0.1573700998490439,2,24,3,scenario 2 step 3.csv,3.528404135570488
Gas (LNG),Storage loss addition,0.6166380716494388,2,92,3,scenario 2 step 3.csv,3.528404135570488
Oil and petroleum products,Cost increase,0.009904065658594863,3,1,1,scenario 3 step 1.csv,0.04418700095726376
Uranium (AVERAGE),Cost increase,0.00370240198701918,3,1,1,scenario 3 step 1.csv,0.04418700095726376
Onshore Wind,Cost increase,0.0034322141204555048,3,1,1,scenario 3 step 1.csv,0.04418700095726376
